corpus: preloaded/ententen20_tt31_1
subcorpus: English Wikipedia
size: 133618
query: Query:[lempos_lc="(love)-v"]
Reference,Sentence
wikipedia.org | <s> My father and mother came to love him very much. </s> 
wikipedia.org | <s> Jay arrives in time to tell Miryea that he loves her. </s> 
wikipedia.org | <s> Ronnie admits she doesn't love Charlie, and ends their marriage. </s> 
wikipedia.org | <s> I think he still loves her. </s> 
wikipedia.org | <s> Tiana stops him and finally admits that she loves him. </s> 
wikipedia.org | <s> Jacob loved his mother too much and did not want to believe this. </s> 
wikipedia.org | <s> People also like to be liked and love to be loved . </s> 
wikipedia.org | <s> Tan was astonished to observe that the public loved the song. </s> 
wikipedia.org | <s> She desperately loves Duzell and wants to return to how things were. </s> 
wikipedia.org | <s> Don realizes that he loves Dawn and gives in. </s> 
wikipedia.org | <s> Heather confesses she doesn't love Colt. </s> 
wikipedia.org | <s> I see myself as a humanitarian who loves people. </s> 
wikipedia.org | <s> In Spanish, the word amador means "one who loves ". </s> 
wikipedia.org | <s> Bishop Anderson was an enthusiastic gardener who loved his roses. </s> 
wikipedia.org | <s> She desperately desires to be admired and loved by men. </s> 
wikipedia.org | <s> He loves to read comic books despite Lily's annoyance at such childish behavior. </s> 
wikipedia.org | <s> Raja decides to love Tamil after knowing that his father likes her. </s> 
wikipedia.org | <s> He also loves the "Joey Special" – two pizzas. </s> 
wikipedia.org | <s> A fitting tribute by the city he loved and who loved him. </s> 
wikipedia.org | <s> I love feeling deeply sexual–and don't mind letting the world know. </s> 
wikipedia.org | <s> She loves to play with friends and she is very close to her mother. </s> 
wikipedia.org | <s> I loved the year in Sligo and I really like the manager. </s> 
wikipedia.org | <s> It's people who are, loving each other, hating each other. </s> 
wikipedia.org | <s> He has loved actress Song Yi-yeon. </s> 
wikipedia.org | <s> She falls in love with Leonardo, even though he loves her daughter. </s> 
wikipedia.org | <s> Being drunk, love sparks between Uzume and Shizuka. </s> 
wikipedia.org | <s> When I got the prototype from Bob, I loved the long sustain. </s> 
wikipedia.org | <s> I loved thee and thee alone, In whose love I joyed once. </s> 
wikipedia.org | <s> Though he deeply loves Opera, he can not abandon his job. </s> 
wikipedia.org | <s> As a child, young Rakesh loved to listen to his father sing. </s> 
wikipedia.org | <s> He has a cat named Shirabota and loves eating curry. </s> 
wikipedia.org | <s> He loved her and revered her. </s> 
wikipedia.org | <s> Fallon reads and loves Liam's novel, which is about their relationship. </s> 
wikipedia.org | <s> I also love the fashion! </s> 
wikipedia.org | <s> But she does love him. </s> 
wikipedia.org | <s> Reiko's son and Yuki's nephew, a three-year-old boy who loves painting. </s> 
wikipedia.org | <s> Eric then demands that Mr. Feeny tell the group that he loves them. </s> 
wikipedia.org | <s> I love Jessica Capshaw, and when I say love I mean love. </s> 
wikipedia.org | <s> Jack reveals he still loves her, but he decides to stand by Sam. </s> 
wikipedia.org | <s> Miss Emily had loved this man, and loved having him in her life. </s> 
wikipedia.org | <s> Especially I love Finnish salmon, mushroom soup and desserts. </s> 
wikipedia.org | <s> They loved English beef more than any other kind of food offered to them. </s> 
wikipedia.org | <s> Steinmark heads to Austin where he gives his everything for the game he loves . </s> 
wikipedia.org | <s> Rita asks her if James still loves her as much as he did earlier. </s> 
wikipedia.org | <s> He also tells Susan that he never stopped loving her and wants her back. </s> 
wikipedia.org | <s> He tells her he came back to see her because he loves her. </s> 
wikipedia.org | <s> This week, the designers were reunited with their loved ones for their challenge. </s> 
wikipedia.org | <s> A vengeful old mortician loves to desecrate the corpses he buries. </s> 
wikipedia.org | <s> I love the DPP deeply and am proud of being a DPP member. </s> 
wikipedia.org | <s> She loves Ling, but later falls in love with Yuan Che. </s> 
wikipedia.org | <s> Weezing loves the gases given off by rotted kitchen garbage. </s> 
wikipedia.org | <s> He was still only 22 and wanted to concentrate on playing the game he loved . </s> 
wikipedia.org | <s> But I love it, and I think it has a shot at immortality. </s> 
wikipedia.org | <s> His passing was a huge loss for the nation as well as his loved ones. </s> 
wikipedia.org | <s> Dini said that she began to love writing when she was in the second grade. </s> 
wikipedia.org | <s> Jintong is both faithful and filially pious, and I love him deeply. </s> 
wikipedia.org | <s> He is also shown to love fighting with his friend "Monk" Mayfair. </s> 
wikipedia.org | <s> Shin loves the supernatural and was drawn to "The Black Page". </s> 
wikipedia.org | <s> Laura shows up to apologize to Beebo and tells her she loves her. </s> 
wikipedia.org | <s> Indie loves Christmas so much she vows to keep her spirit alive all year. </s> 
wikipedia.org | <s> Achilles' strongest interpersonal bond is with Patroclus, whom he loves dearly. </s> 
wikipedia.org | <s> On singing with Jagger, Ronstadt later said, "I loved it. </s> 
wikipedia.org | <s> Westerman lead the team that created Nicktropolis the award-winning and much loved virtual world. </s> 
wikipedia.org | <s> This means that Natsuki also loves Shizuru as Shizuru loves her. </s> 
wikipedia.org | <s> She does however, truly love her best friend Don Konkey and her brother Leo. </s> 
wikipedia.org | <s> Kei reminisces about Masato and how she loved him from afar. </s> 
wikipedia.org | <s> He especially loves the Pague creatures. </s> 
wikipedia.org | <s> The girl loves all the attention and won't let anyone simply pull her out. </s> 
wikipedia.org | <s> Pique forgets about having loved Mytho and the friendship between the girls is repaired. </s> 
wikipedia.org | <s> She breaks up with Kyung-woo when she realizes he does not truly love her. </s> 
wikipedia.org | <s> Believing no person loved him, Shin wants to put an end to humanity. </s> 
wikipedia.org | <s> A school nerd who loves Akemi and jealously hates Nagumo. </s> 
wikipedia.org | <s> He loves trains and he hates crunchy peanut butter but loves creamy. </s> 
wikipedia.org | <s> However, she retains her individuality while she loves the family she is married into. </s> 
wikipedia.org | <s> She specially loved the Diocesan School and Orphanage on Mount Zion. </s> 
wikipedia.org | <s> Elizabeth realized how horrible her often thoughtless sister felt, because Jessica loved her sister. </s> 
wikipedia.org | <s> Haley is an All-American sweetheart who loves sports, shopping, and hip hop. </s> 
wikipedia.org | <s> Schedler loved teaching, and parishioners asked to get together and talk about world religions. </s> 
wikipedia.org | <s> One of her friends is deliberately murdered, while another of her loved ones is accidentally shot. </s> 
wikipedia.org | <s> A 25-year-old woman who has let her own financial problems affect her loved ones is the focus. </s> 
wikipedia.org | <s> He is a nephilim from Shoreline, Miles finds love where he least expects it. </s> 
wikipedia.org | <s> Family-orientated, Windsor adds that: " loves her family with a passion. </s> 
wikipedia.org | <s> His plan fails, however, as Sapphire still loves Rex after his transformation. </s> 
wikipedia.org | <s> Bauua assures her that he always loved her, just before the rocket takes off. </s> 
wikipedia.org | <s> Edgeworth followed up with his memoirs, in which he claimed Sidney loved Day. </s> 
wikipedia.org | <s> Adrienne found herself torn between two men that she loved , forced to make a decision. </s> 
wikipedia.org | <s> It was awesome to write that song because I love music from the 50s and 60s. </s> 
wikipedia.org | <s> Gecko Turner grew up in Spain, learning English from the blues artists he loved . </s> 
wikipedia.org | <s> She clearly loves her mother very much but is not willing to let her run her life. </s> 
wikipedia.org | <s> He loves his family, though most of the time he is away on a ship. </s> 
wikipedia.org | <s> But I love rock 'n' roll-there, I'd rather be a rock star. </s> 
wikipedia.org | <s> To have to let go of everything you know and all the people you love . </s> 
wikipedia.org | <s> Terry Lee: A teenager when the series begins, he is excitable and loves adventure. </s> 
wikipedia.org | <s> They sort of look like alien creatures or melting blobs and the internet loves them. </s> 
wikipedia.org | <s> One thing I try to stress about this project is, I love and hate this album. </s> 
wikipedia.org | <s> Doug was a builder, who loved his family and enjoyed spending time with his friends. </s> 
wikipedia.org | <s> However, her arrival proves to be a major consternation for the Angel Takuto loves . </s> 
wikipedia.org | <s> Meanwhile, Joxer plucks up the courage to tell Gabrielle that he loves her. </s> 
wikipedia.org | <s> He struck me as a guy who really loves the cinema and is knowledgeable about it. </s> 
wikipedia.org | <s> He is also somewhat hindered by Drutt, Berk's pet who loves eating worms. </s> 
wikipedia.org | <s> But Akbar, you know how much your mother, sisters, and aunts love you. </s> 
wikipedia.org | <s> Jung-jae, however, chooses to turn a blind eye as he deeply loves Hye-won. </s> 
wikipedia.org | <s> However, Heihachi overpowers and, realizing the woman he loved is gone, kills her. </s> 
wikipedia.org | <s> Wolf loved the idea, but had already cast Jesse L. Martin as Briscoe's new partner. </s> 
wikipedia.org | <s> Children are learning to love , to trust, to let loose, and to have fun. </s> 
wikipedia.org | <s> Bingo likes the idea, but declines, knowing that Honoria loves Oswald. </s> 
wikipedia.org | <s> Schwartzman loved Ocasek's pink Jazzmaster, the one he used in The Cars. </s> 
wikipedia.org | <s> Tilly is a studious character and loves to read, which has rubbed off on Dixon. </s> 
wikipedia.org | <s> Kkavya understands that Anjali loves him. </s> 
wikipedia.org | <s> Given that they have an on-and-off relationship, Alfie tells Jade he loves her. </s> 
wikipedia.org | <s> When a Man Loves a Walnut, 1997. </s> 
wikipedia.org | <s> Abraham learned how to love God but did he learn how to love his neighbor and himself? </s> 
wikipedia.org | <s> The Brethren love feast is a conscious imitation of Jesus' last supper with his disciples. </s> 
wikipedia.org | <s> Mickey is devastated when Ian insists he loves Maxine and wants to be with her. </s> 
wikipedia.org | <s> The girls loved it, and Alice Liddell asked Dodgson to write it down for her. </s> 
wikipedia.org | <s> She is a bibliophile, and is close friends with Kelsey (who loves fantasy novels). </s> 
wikipedia.org | <s> Also a trained gymnast, Miles played soccer and volleyball at her school and loved performing arts. </s> 
wikipedia.org | <s> To prove he loves her more, Bobby jumps clear as his van goes over a cliff. </s> 
wikipedia.org | <s> For instance, besides work, love also is a major theme for Levine in this collection. </s> 
wikipedia.org | <s> Cruel one, even if you make me languish, I will always love you true. </s> 
wikipedia.org | <s> I would not hurt the ones I love , nor be drawn to those who hurt me. </s> 
wikipedia.org | <s> The King learns to love his wife and pulls away from his mistress and their two sons. </s> 
wikipedia.org | <s> Failed knight Catriona Goodlund returns to her homeland to find everything she's ever loved destroyed. </s> 
wikipedia.org | <s> Machen loved the medieval world view because he felt it manifested deep spirituality alongside a rambunctious earthiness. </s> 
wikipedia.org | <s> To Be Loved " and "Forever". </s> 
wikipedia.org | <s> A neighboring well wisher lady (Sulabha Deshpande) loves and cares for Vinnie. </s> 
wikipedia.org | <s> He loves her dearly and will go to any extent to safeguard his daughter and granddaughter. </s> 
wikipedia.org | <s> As a child, he loved theatre and pictorial art, especially the works of M. Vrubel. </s> 
wikipedia.org | <s> Tuanku Nur Zahirah also loves to read books, specially concerning intelligence quotient and emotional quotient. </s> 
wikipedia.org | <s> She loves Walter's hair to the point of dyeing hers red, the same color as him. </s> 
wikipedia.org | <s> He Loves Me, He Loves Me Not. </s> 
wikipedia.org | <s> The Sheik saves her from certain death, and tells her she will learn to love him. </s> 
wikipedia.org | <s> Her three sons often exasperate her with their rowdiness, but she loves them all the same. </s> 
wikipedia.org | <s> Madhu loves his wife even though they are out of sync because she has brought him luck. </s> 
wikipedia.org | <s> Her last words beg her father to forgive her for not loving the countryside as he did. </s> 
wikipedia.org | <s> The girl he loved also resigned over her refusal to meet with senior party members in clandestine affairs. </s> 
wikipedia.org | <s> I love you all. </s> 
wikipedia.org | <s> Lumiere holds onto Fifi while hanging for dear life, and tells her that he loves her. </s> 
wikipedia.org | <s> While Gail tells them that she loves them, she puts the scissors in Sarah's hands. </s> 
wikipedia.org | <s> She (revealed in book 5,) has a Hummingbird which she loves , called Whizzy. </s> 
wikipedia.org | <s> Nobody was allowed recovery of the bodies, and only some received death certificates for their loved ones. </s> 
wikipedia.org | <s> She eventually agrees to give full custody to Sakhi since she sees how much he loves the baby. </s> 
wikipedia.org | <s> Her library is filled with books about the grammar of the English language because she had loved grammar. </s> 
wikipedia.org | <s> Akuaku is the main villain of the fifth movie and an evil spirit that loves to play pranks. </s> 
wikipedia.org | <s> Eun-seom loved Tan-ya for this. </s> 
wikipedia.org | <s> Father Brown discovers that Barford truly loved his childless wife, though she suspected her husband's fidelity. </s> 
wikipedia.org | <s> His friends find out that Joseph still loves Stella and then inquires what was their reason for separation. </s> 
wikipedia.org | <s> Day 37: Task: ' Love Letter Bombs'. </s> 
wikipedia.org | <s> Weinstein said they both " love them and seem to really hate them" at the same time. </s> 
wikipedia.org | <s> Genie (Voiced by Ryuzou Ishino): A book sleeve boy who loves to study. </s> 
wikipedia.org | <s> It originated at the Nashville Farmers' Market with accompanying events celebrating the legacy of well loved recipes. </s> 
wikipedia.org | <s> Describing Dot, Brown has said, "I love playing her – she's a strong character. </s> 
wikipedia.org | <s> She regularly gets Rainbow Fish into trouble, because she gets jealous, although she actually loves him. </s> 
wikipedia.org | <s> Cash confesses that he still loves Monica in "Deceptions", but she rejects him. </s> 
wikipedia.org | <s> He loves the game. </s> 
wikipedia.org | <s> I love you terribly. </s> 
wikipedia.org | <s> This journey yet holds more for both of them, as they discover what love could mean and bring. </s> 
wikipedia.org | <s> Anna said: "I would answer that I love you and I will love you forever". </s> 
wikipedia.org | <s> Working together on original music that crossed all of our inspirations was completely refreshing and I love the track. </s> 
wikipedia.org | <s> Love is the recurrent theme – love of a woman, love of life or love of the other. </s> 
wikipedia.org | <s> A practical and scientific humanist, he was deeply loved by the peasants of his estates in Bengal. </s> 
wikipedia.org | <s> Karen loved gardening, painting, being in nature, and cheering for her beloved MN Vikings. </s> 
wikipedia.org | <s> Her love for music deeply troubles Philip, who never allowed Henry to play the guitar at the house. </s> 
wikipedia.org | <s> Thiebaud has stated: "I love going to work and getting to play someone that I am not. </s> 
wikipedia.org | <s> His colleague, Dr. Lata loves Dr. Anand, but he already has a girlfriend, Seema. </s> 
wikipedia.org | <s> Its plot involves a woman who disguises herself and gains employment in the home of the man she loves . </s> 
wikipedia.org | <s> When Raj says he believes Simran loves him too, his father encourages him to go after her. </s> 
wikipedia.org | <s> Belatedly I loved thee, O Beauty so ancient and so new, belatedly I loved thee. </s> 
wikipedia.org | <s> They are not easily angered and tend to be eager to please and friendly, but they love attention. </s> 
wikipedia.org | <s> The story is about Justin McCallister who loves life on his aunt and uncle's sheep ranch in Montana. </s> 
wikipedia.org | <s> Luckily, Mr Whiteman came home in the nick of time, loved it and paid for it. </s> 
wikipedia.org | <s> Kosi is an unblinking man with a stubborn feel for life, thereby refusing to love and be loved. </s> 
wikipedia.org | <s> She says, "As scientists, we're enormously privileged to be doing a job that we love . </s> 
wikipedia.org | <s> Can love overcome doubt? </s> 
wikipedia.org | <s> He claimed that though he knew her family missed her, he loved her and could not return her. </s> 
wikipedia.org | <s> Intan (Naysila Mirdad) grows up innocent and sweet, and loves Lastri (Hj. </s> 
wikipedia.org | <s> He loved nature, and loved exploring the wilds of the Boland, especially around Hermanus and Swellendam. </s> 
wikipedia.org | <s> His daughter is in the middle between The Virginian who she loves and her father who barely notices her. </s> 
wikipedia.org | <s> One night, she shares her leftovers with a taxi driver named Takeshi, who also loves pickled cabbage. </s> 
wikipedia.org | <s> At present, she does not have any particular crush (but Shizuka secretly loves Nobita very much). </s> 
wikipedia.org | <s> Enid Bagnold published The Loved and Envied (ISBN 0-86068-978-6) in 1951. </s> 
wikipedia.org | <s> I love thee with the passion put to use In my old griefs, and with my childhood's faith. </s> 
wikipedia.org | <s> Glassman takes Shaun to a park his late daughter loved so they can enjoy the time Glassman has left. </s> 
wikipedia.org | <s> Bird contains the autobiographical message of Namjoo that she will fly without hesitation for everything she loves and dreams. </s> 
wikipedia.org | <s> The book collected essays that James had written over nearly forty years about a country he knew and loved well. </s> 
wikipedia.org | <s> All the natives loved Izta, and her parents prepared her to be the Empress of the Aztecs. </s> 
wikipedia.org | <s> Never Loved Elvis is the third album by The Wonder Stuff released in May 1991. </s> 
wikipedia.org | <s> Lolo Franing wants the YaKie wedding to proceed, telling Yaya Dub that Frankie loves her very much. </s> 
wikipedia.org | <s> Tiny could not speak any English but as children would see he loved to learn new things about life. </s> 
wikipedia.org | <s> Several cadenzas of coloratura style, which Liszt also loved in his compositions, are inserted in the music. </s> 
wikipedia.org | <s> She loves to explore and have adventures, and to challenge her friends to a dare or a race. </s> 
wikipedia.org | <s> He calls out to General Kurshnirov "I love you, Father" as he falls to his death. </s> 
wikipedia.org | <s> The Racoons are against the romance because it is a known law that "No man should love a racoon. </s> 
wikipedia.org | <s> She is the friend of Gaurav Saxena and wants to make him a successful supermodel because she loves him. </s> 
wikipedia.org | <s> In 1949, Memphis Slim recorded the reworked song as "Nobody Loves Me". </s> 
wikipedia.org | <s> It almost did not make the track list, but producer Max Martin chimed in and said he loved it. </s> 
wikipedia.org | <s> He enjoys playing video games and foosball, loves sandwiches and pizza, and is a big fan of Baywatch. </s> 
wikipedia.org | <s> When they were finished Katie feels sad that she can't share this news with Lauren, whom she loves . </s> 
wikipedia.org | <s> Thematically, the album touches on the loss of loved ones, physical objects and environments and loss of innocence. </s> 
wikipedia.org | <s> It continues to Troyes, and passes straight through the Champagne region, whose wines are loved by the British. </s> 
wikipedia.org | <s> Raji Reddy tells Arya to kill her, as Arya can't kill her because he still loves Geetha. </s> 
wikipedia.org | <s> As Tizoc begins to realize he no longer loves Machinza, she complains about this to her brother Nicuil. </s> 
wikipedia.org | <s> Joanna, desperate to find someone to love , kisses a woman who turns out to be her cousin Margaret. </s> 
wikipedia.org | <s> A commoner named Raghuvaran (Ravi Tej) truly loved the Zamindar's daughter Nayanthara (Lakshmipriya). </s> 
wikipedia.org | <s> Meg then pretends to be pregnant, forcing Jack to marry her before he leaves, although he loves Jessica. </s> 
wikipedia.org | <s> Each is recommended to go beyond the minimum required classes needed to graduate in order to pursue the subjects they love . </s> 
wikipedia.org | <s> She demands an explanation, which she accepts, telling him she realized that he is who she truly loves . </s> 
wikipedia.org | <s> Chebutykin drunkenly stumbles and smashes a clock which had belonged to the Prozorov siblings' late mother, whom he loved . </s> 
wikipedia.org | <s> Correia speaks Spanish and English, she loves playing soccer, and she is current student of journalism at ITV. </s> 
wikipedia.org | <s> She vows she will only marry the man she loves , but she won't tell Ramsey who that is. </s> 
wikipedia.org | <s> One must remain open to love , but without trying to condition when it might arise and when it might die. </s> 
wikipedia.org | <s> After this heartbreak, Charlie is once again shown as a woman how loves uncomplicated affairs, however long they last. </s> 
wikipedia.org | <s> But 'Once I Loved ' is that rarity--a melancholy soliloquy that shouldn't be played too slowly. </s> 
wikipedia.org | <s> The album was released in April 2013 under How Does It Feel To Be Loved ? record label. </s> 
wikipedia.org | <s> Each round will feature a different food item, with the loved one that finishes last being eliminated from the challenge. </s> 
wikipedia.org | <s> Despite the fact that she still loves basketball, Tomoka is not willing to play without having her friends with her. </s> 
wikipedia.org | <s> Rose co-wrote the 1986 TV movie My Two Loves , starring Mariette Hartley and Lynn Redgrave. </s> 
wikipedia.org | <s> In discussing Lee's love of flying her sister Frances said, "It was the thought of doing something she loved . </s> 
wikipedia.org | <s> He loves his horse, Katy, whom he purchased by winning the money to buy her in a boxing match. </s> 
wikipedia.org | <s> Rosa Luxemburg continues to fascinate, and despite her powerful political intellect and activism, her love life also attracts attention. </s> 
wikipedia.org | <s> Samara finds that her father doesn't loves her when he during a party doesn't acknowledge her as his daughter. </s> 
wikipedia.org | <s> He relished the earthiness of plain, simple Mediterranean ceramics and loved Byzantine icons (especially those darkened with age). </s> 
wikipedia.org | <s> Knowing that Sonia loves Vijay, Suraj attempts to kill him but ends up burning the farm of Vijay's Uncle. </s> 
wikipedia.org | <s> Gigi interrupted Rex and Adriana's wedding to tell Rex she loves him, only to end up punched by Adriana. </s> 
wikipedia.org | <s> Macon holds out due to a warning from a traitor of Winterbourne's army, but the woman he loved was killed. </s> 
wikipedia.org | <s> The movie ends with the statement, "You don't have to be a soldier to love your country". </s> 
wikipedia.org | <s> Second single, "Don't Be Afraid If Nobody Loves You" followed on 12 July. </s> 
wikipedia.org | <s> The chorus is backed by female vocalists, singing it in style with one of John's most loved genres, gospel. </s> 
wikipedia.org | <s> He loves the food and tea at Rokuhōdō, though never admits it, instead coming over for 'inspections'. </s> 
wikipedia.org | <s> They loved and respected one another, but they criticized each other and at the same time strengthening one another spiritually. </s> 
wikipedia.org | <s> A sensitive lover offers a woman sympathy for her heartbreak and suffering, thinking that this will make her love him. </s> 
wikipedia.org | <s> Yug had told Bharti all this before marriage but she wanted to marry him anyway because she loved him a lot. </s> 
wikipedia.org | <s> The passive participle is formed by -at at the stem of the verb, like amat loved , soluat solved. </s> 
wikipedia.org | <s> According to band member Bob Berryhill, "Ronnie loved Scottish marches and played with our high school Tartan marching band. </s> 
wikipedia.org | <s> Jack Ruby (Michael Lerner) is a warm-hearted but hot-tempered and patriotic nightclub owner, who loves President Kennedy. </s> 
wikipedia.org | <s> Conchita, saving Tony and Lola from the perils she faced for years, shot her love Rico to his death. </s> 
wikipedia.org | <s> When the Colonel realizes how much he would miss her attentions, he discovers that he does love her after all. </s> 
wikipedia.org | <s> He can be heard at the beginning of the song "Chocolate Jesus", saying "I love it". </s> 
wikipedia.org | <s> Her breakthrough hit "Someone Loves You, Honey" became the best-selling single of 1982 in the Netherlands. </s> 
wikipedia.org | <s> Jamie Foxx as Nico, a yellow canary who loves to samba, and whose bottlecap hat functions as a tambourine. </s> 
wikipedia.org | <s> The longest continuous run in the Top 100 is 97 weeks for "Someone You Loved " by Lewis Capaldi. </s> 
wikipedia.org | <s> She started her music career, in 1988, with the release of He Loves Me by Sound of Gospel. </s> 
wikipedia.org | <s> The second meeting in 1957 gave Montini an opportunity to express the lay apostolate in modern terms: "Apostolate means love . </s> 
wikipedia.org | <s> For others, the memory that continues in loved ones, or even in societies, guarantees the persistence after physical death. </s> 
wikipedia.org | <s> After Bigby's last minute return saved the day during the Battle of Fabletown, she realized that she truly did love him. </s> 
wikipedia.org | <s> Ajay and Piya love each other, and they soon start a wish list, which they write on their bedroom wall. </s> 
wikipedia.org | <s> Allen is able to see Alma's Akuma soul, learning Alma is in fact the woman Kanda loved in his previous life. </s> 
wikipedia.org | <s> The choice of changing a major line from "Thank you" to "I love you" also received mixed reactions. </s> 
wikipedia.org | <s> Sabrás que te quiero (Know that I love you) was published in 2017, this is Negretti's second historical novel. </s> 
wikipedia.org | <s> He was replaced by Bharath, who was approached by Silambarasan himself for the role and immediately agreed as he loved Vedam. </s> 
wikipedia.org | <s> We love to jam and riff all day and we feel Kurt 's unique style of producing will complement this perfectly. </s> 
wikipedia.org | <s> The bashing also makes Micky put things into perspective - he loves Jake and wants to do the right thing by him. </s> 
wikipedia.org | <s> The main title, PiHKAL, is an acronym that stands for "Phenethylamines I Have Known And Loved ". </s> 
wikipedia.org | <s> She, however, loved an Algonquian warrior named Nessacus, who risked his life to save her from a bear attack. </s> 
wikipedia.org | <s> You're our idol, inspiration Memories never die; For we'll love and cherish ever, Hold your standards high. </s> 
wikipedia.org | <s> Seeing how much he loves and respects his family and how his life has been, Divya slowly starts to like Shakthi. </s> 
wikipedia.org | <s> She is extremely giddy and would do anything in order to get Kikuchi's attention and his love because she truly loves him. </s> 
wikipedia.org | <s> Therefore I'll lie with love, and love with me, Since that our faults in love thus smother'd be. </s> 
wikipedia.org | <s> He loved basketball, was a fan of the Chicago Bulls, and was, at the time, an aspiring rapper. </s> 
wikipedia.org | <s> El Privilegio de Amar (English: The Privilege to love ) is the 12th studio album by Mexican pop singer Mijares. </s> 
wikipedia.org | <s> The Roman d'Enéas addresses that charge, when Queen Amata opposes Aeneas's marrying Lavinia, claiming that Aeneas loved boys. </s> 
wikipedia.org | <s> Large Marvin Fraggle (performed by Dave Goelz) – A fat and somewhat dim-witted Fraggle who loves snacking and also swimming. </s> 
wikipedia.org | <s> Ganapathi falls in love with Arundhathi (Jeevitha Rajashekar) and Basu fa loves Seetha (Ashwini) and they get married. </s> 
wikipedia.org | <s> The album was recorded to tape using analogue methods, with Regan noting, "I just love the sound of it, I love the process. </s> 
wikipedia.org | <s> For those who don't remember the Cowboys loved to run a package of four defensive linemen, no linebackers and seven defensive backs, blitzing most of their secondary. </s> 
wikipedia.org | <s> In his book, Jackson recalls a meeting with Al Davis where he said he liked Davis and told the Raider boss he would love to play for them, and that the Raiders made offers for the #1 pick to Tampa Bay that were spurned. </s> 
wikipedia.org | <s> Another passage, later in the same notebook, uses the letters in sequence as the initial letters of the words in the first line of a couplet poem, showing the meaning as "I am loved by the elect" (from Latin, amor electis, iniustis ordinor ultor). </s> 
wikipedia.org | <s> It soon becomes apparent that they still love each other and have missed each other for many years, and that Ken returned to Pine Island in hopes of seeing Sylvia again. </s> 
wikipedia.org | <s> Speaking about joining the production, Woodyatt commented: "I absolutely love performing in front of an audience as it's so different to camera – I love the reaction of the audience. </s> 
wikipedia.org | <s> Jackie agrees to let him keep Buddy until Christmas and she plans to send him to the pound if his rightful owner is not located; however, she sees how loyal Buddy is and how much Josh loves him. </s> 
wikipedia.org | <s> She does everything she can to make him love her back, without noticing that Nicolas is uncomfortable with her smothering affection for him. </s> 
wikipedia.org | <s> You're a grand old school You're the school that we love And forever in honor we'll hold, Alma mater dear, We you revere, The boast of the brave and the bold. </s> 
